00AA,LEOTI. KS
3LS8,FOLSOM. LA
3M0,LAKEVIEW. AR
3M5,HUNTSVILLE. AL
3M7,LAFAYETTE. TN
3M8,REFORM. AL
3M9,WARREN. AR
3MA2,MIDDLEFIELD. MA
3MA5,WESTPORT. MA
3MD0,FREDERICK. MD
3MD4,ANNAPOLIS. MD
3MD5,HURLOCK. MD
3MD6,DRAYDEN. MD
3MD8,CAMBRIDGE. MD
3MD9,RIDGE. MD
3MI0,LAKE GEORGE. MI
3MI2,NORTHPORT. MI
3MI7,ORTONVILLE. MI
3MN1,PRINCETON. MN
3MN4,WESTBROOK. MN
3MN7,SABIN. MN
3MN9,OSTER. MN
3MO4,PORTAGEVILLE. MO
3MO5,CARTHAGE. MO
3MO6,KEARNEY. MO
3MS1,HOLLY SPRINGS. MS
3MS3,FLORA. MS
3MS5,VAIDEN. MS
3MS6,FLORA. MS
3MS8,SCOOBA. MS
3MS9,UNION. MS
3MT3,RYEGATE. MT
3MT4,CHINOOK. MT
3MT6,BOZEMAN. MT
3MT7,CASCADE. MT
3MT9,PHILIPSBURG. MT
3MY,PEORIA. IL
3N0,NAMORIK ATOLL. MH
3N1,TAORA IS  MALOELAP ATOLL. MH
3N6,OLD BRIDGE. NJ
3N8,MAHNOMEN. MN
3NA0,CLIFFORD. ND
3NA2,WASHBURN. ND
3NA6,HAMBERG. ND
3NC0,MORGANTON. NC
3NC1,BOONVILLE. NC
3NC3,LOCUST. NC
3NC4,MARSHVILLE. NC
3NC5,STONY POINT. NC
3NC6,HARRISBURG. NC
3NC7,SPARTA. NC
3NC9,CHAPEL HILL. NC
3ND5,ORISKA. ND
3NE2,HEMINGFORD. NE
3NE3,HOLDREGE. NE
3NE5,MURDOCK. NE
3NJ1,PEMBERTON. NJ
3NJ6,RANCOCAS. NJ
3NJ9,VINCENTOWN. NJ
3NK4,JAMESTOWN. NY
3NK5,PLATTSBURGH. NY
3NK6,TUSCARORA. NY
3NK8,COPAKE. NY
3NP,NAPOLEON. MI
3NR3,BREVARD. NC
3NR4,ELIZABETH CITY. NC
3NY0,CHARLESTON. NY
3NY1,CANASTOTA. NY
3NY3,SPRINGFIELD. NY
3NY5,BINGHAMTON. NY
3NY6,DUANESBURG. NY
3NY7,EPHRATAH. NY
3NY8,CALVERTON. NY
3O1,GUSTINE. CA
3O3,PURCELL. OK
3O4,SAYRE. OK
3O5,WALTERS. OK
3O8,COALINGA. CA
3O9,AFTON. OK
3OG3,KLAMATH FALLS. OR
3OH0,NEW CARLISLE. OH
3OH1,WEST ALEXANDRIA. OH
3OH4,ANDOVER. OH
3OH6,DELPHOS. OH
3OH7,CARDINGTON. OH
3OH8,GNADENHUTTEN. OH
3OH9,WILMINGTON. OH
3OK0,ADA. OK
3OK2,HYDRO. OK
3OK5,LINDSAY. OK
3OK6,BEAVER. OK
3OK7,SAND SPRINGS. OK
3OK8,SAND SPRINGS. OK
3OK9,SHAWNEE. OK
3OR8,REDMOND. OR
3OR9,JUNTURA. OR
3P3,MOTT. ND
3PA0,LEBANON. PA
3PA4,LERAYSVILLE. PA
3PA6,LEWISBURG. PA
3PA8,LINCOLN UNIVERSITY. PA
3PA9,LINE LEXINGTON. PA
3PN0,BIGLERVILLE. PA
3PN1,CLIFFORD. PA
3PN2,FAIRFIELD. PA
3PN6,CAMBRIDGE SPRINGS. PA
3PN7,UNION DALE. PA
3PS2,BEDFORD. PA
3PS4,MILLCREEK. PA
3PS8,HARRISBURG. PA
3PS9,BULGER. PA
3Q0,MINA. NV
3R2,CROWLEY. LA
3R4,MANY. LA
3R7,JENNINGS. LA
3R8,SCOTTSBURG. IN
3R9,LAKEWAY. TX
3RC,ROSCOMMON. MI
3S4,CAVE JUNCTION. OR
3S5,ST JOHNS. MI
3S6,CLEARWATER. OR
3S7,MANZANITA. OR
3S8,GRANTS PASS. OR
3S9,CONDON. OR
3SC4,WOODRUFF. SC
3SD2,BOX ELDER. SD
3SD3,SCENIC. SD
3SD4,TEA. SD
3T0,GORDONVILLE. TX
3T2,MANVEL. TX
3T3,BOYCEVILLE. WI
3T4,TETLIN. AK
3T5,LA GRANGE. TX
3T6,JUSTIN. TX
3T7,MIDDLE BASS ISLAND. OH
3T8,CHINA SPRING. TX
3T9,PRESIDIO. TX
3TA,STAFFORD. KS
3TA0,ROCKSPRINGS. TX
3TA1,SANDERSON. TX
3TA2,SEALY. TX
3TA4,BROWNWOOD. TX
3TA5,BLANCO. TX
3TA6,BRACKETTVILLE. TX
3TA7,BRIDGEPORT. TX
3TA9,CRYSTAL CITY. TX
3TE,TECUMSEH. MI
3TE0,IOLA. TX
3TE1,DAYTON. TX
3TE3,NEVADA. TX
3TE4,RUIDOSA. TX
3TE5,PANHANDLE. TX
3TE8,TERLINGUA /ALPINE/. TX
3TE9,DAYTON. TX
3TN0,KINGSPORT. TN
3TN3,DRESDEN. TN
3TN6,MEMPHIS. TN
3TN8,LENOIR CITY. TN
3TN9,SPRINGFIELD. TN
3TR,NILES. MI
3TS0,LONGVIEW. TX
3TS1,WIMBERLEY. TX
3TS3,ALVIN. TX
3TS5,QUITAGUE. TX
3TS9,COOPER. TX
3TX,SLIDELL. TX
3TX1,BERRYVILLE. TX
3TX2,JUSTIN. TX
3TX3,JUSTIN. TX
3TX4,SANTA FE. TX
3TX7,JUSTIN. TX
3TX9,BURLESON. TX
3U0,THREE CREEK. ID
3U1,WARREN. ID
3U2,YELLOW PINE. ID
3U3,ANACONDA. MT
3U4,ASHLAND. MT
3U5,AUGUSTA. MT
3U7,AUGUSTA. MT
3U8,BIG SANDY. MT
3U9,BOULDER. MT
3V0,FAIRBURN. SD
3VA0,WARRENTON. VA
3VA1,WARRENTON. VA
3VA2,WARRENTON. VA
3VA3,WARRENTON. VA
3VA4,WARSAW. VA
3VA5,LEESBURG. VA
3VA7,WHITE POST. VA
3VA8,WINDSOR. VA
3VG2,MACHIPONGO. VA
3VG3,BURGESS. VA
3VG9,SOUTH BOSTON. VA
3VS,VERSAILLES. MO
3W2,PUT IN BAY. OH
3W3,STEVENSVILLE. MD
3W5,CONCRETE. WA
3W6,BLADENBORO. NC
3W7,ELECTRIC CITY. WA
3W8,EUREKA. SD
3W9,MIDDLE BASS ISLAND. OH
3WA0,RAINIER. WA
3WA2,HARRINGTON. WA
3WA3,KAHLOTUS. WA
3WA4,KAHLOTUS. WA
3WI0,ALGOMA. WI
3WI2,WATERLOO. WI
3WI3,BEVENT. WI
3WI4,WAUSAU. WI
3WI5,WHITEWATER. WI
3WI6,CLINTON. WI
3WI8,REDGRANITE. WI
3WI9,CHIPPEWA FALLS. WI
3WN2,WASHBURN. WI
3WN6,CHETEK. WI
3WN8,CHIPPEWA FALLS. WI
3WN9,STRUM. WI
3WS9,HILLSBORO. WI
3X5,NORTH BASS ISLAND. OH
3XA0,GRANDVIEW. TX
3XA1,VALLEY VIEW. TX
3XA7,PONTOTOC. TX
3XA8,CRESSON. TX
3XS0,DENTON. TX
3XS1,PALACIOS. TX
3XS4,VIDOR. TX
3XS5,VON ORMY. TX
3XS8,BALMORHEA. TX
3Y2,WEST UNION. IA
3Y3,WINTERSET. IA
3Y4,WOODBINE. IA
3Y7,ISABEL. SD
3Z1,FEATHER RIVER. AK
40AK,STERLING. AK
40AR,GARFIELD. AR
40AZ,MARICOPA. AZ
40C,WATERVLIET. MI
40D,THREE LAKES. WI
40FL,PUNTA GORDA. FL
40G,GRAND CANYON. AZ
40I,WAYNESVILLE. OH
40ID,FAIRFIELD. ID
40IL,CORNELL. IL
40IN,FREETOWN. IN
40KS,WILLIAMSBURG. KS
40KY,SHELBYVILLE. KY
40LA,MONROE. LA
40ME,FRYEBURG. ME
40MN,BINGHAM LAKE. MN
40MO,PRAIRIE HOME. MO
40MT,HELENA. MT
40NE,BARTLETT. NE
40OH,NEWBURY. OH
40OI,LODI. OH
40OK,OILTON. OK
40PN,EAGLES MERE. PA
40TA,JEWETT. TX
40TE,JARRELL. TX
40TN,BEAN STATION. TN
40TS,KINGSVILLE. TX
40U,MANILA. UT
40WI,CENTERVILLE. WI
40XS,CEDAR PARK. TX
41AK,WASILLA. AK
41AR,ARKADELPHIA. AR
41AZ,MARICOPA. AZ
41C,WAYLAND. MI
41CA,FOREST GLEN. CA
41CO,MEEKER. CO
41F,FLOYDADA. TX
41G,BATH. MI
41ID,KUNA. ID
41IG,CRAWFORDSVILLE. IN
41KS,SPRING HILL. KS
41ME,JAY. ME
41MS,ITTA BENA. MS
41MT,HERON. MT
41N,NEWTON FALLS. OH
41NC,KANNAPOLIS. NC
41ND,MINOT. ND
41NK,NORTH EAST. NY
41NY,ESSEX. NY
41OH,SIDNEY. OH
41PA,NEW KINGSTOWN. PA
41TA,GLEN ROSE. TX
41TN,MILTON. TN
41TS,WESTMINSTER. TX
41TT,MOUNTAIN HOME. TX
41TX,CHEROKEE. TX
41U,MANTI. UT
41WI,ELKHORN. WI
41XS,TAYLOR. TX
42A,MELBOURNE. AR
42AK,NUIQSUT. AK
42B,EAST HADDAM. CT
42C,WHITE CLOUD. MI
42CN,REEDLEY. CA
42I,ZANESVILLE. OH
42IA,SALIX. IA
42ID,GARDEN VALLEY. ID
42J,KEYSTONE HEIGHTS. FL
42KS,KIOWA. KS
42KY,BENTON. KY
42M,THAYER. MO
42MD,OAKLAND. MD
42MN,CORCORAN. MN
42MO,FESTUS. MO
42NC,SPRING HOPE. NC
42NY,EAST HOMER. NY
42OH,NEWTON FALLS. OH
42OR,POST. OR
42SC,FLORENCE. SC
42TN,PARIS. TN
42TT,CLEVELAND. TX
42TX,WOLFE CITY. TX
42U,MORGAN. UT
42V,BENKELMAN. NE
42VA,VIRGINIA BEACH. VA
42VT,SHELBURNE. VT
42WA,WILBUR. WA
42XA,GOLINDA. TX
42XS,FREER. TX
43A,STAR. NC
43AK,WASILLA. AK
43AR,NEWPORT. AR
43B,DEBLOIS. ME
43CN,CORCORAN. CA
43CO,PAONIA. CO
43D,ODESSA. WA
43G,BELLEVILLE. MI
43IG,GRAYLAND. WA
43IN,ST WENDEL. IN
43K,MARION. KS
43KS,MANHATTAN. KS
43MI,GLADSTONE. MI
43MN,SAGINAW. MN
43MO,PLEASANT HILL. MO
43NE,RIVERDALE. NE
43NV,WELLINGTON. NV
43OA,WAYNESVILLE. OH
43OI,NORTH BALTIMORE. OH
43OK,WELLSTON. OK
43OR,BEND. OR
43PA,SPRING CITY. PA
43TA,MORGAN. TX
43TN,MORRISON. TN
43TS,TILDEN. TX
43TX,ALAMO. TX
43XA,WADSWORTH. TX
43Y,NORTHOME. MN
44A,SAN LUIS. AZ
44AK,WASILLA. AK
44AZ,PAGE. AZ
44B,DOVER/FOXCROFT. ME
44C,BELOIT. WI
44CA,SANTA BARBARA. CA
44CL,GRIMES. CA
44CO,HOTCHKISS. CO
44G,BLISSFIELD. MI
44GA,PINEVIEW. GA
44ID,DONNELLY. ID
44IN,VEEDERSBURG. IN
44KS,WICHITA. KS
44KY,CHAVIES. KY
44LA,DRY CREEK. LA
44LS,PONCHATOULA. LA
44M,COOKSON. OK
44MI,MULLIKEN. MI
44MO,LINN. MO
44MT,COLUMBUS. MT
44MU,GRANBY. MO
44N,MILLBROOK. NY
44NC,LANDIS. NC
44ND,HALLIDAY. ND
44NY,FORT PLAIN. NY
44OR,CANBY. OR
44PA,SPRING MILLS. PA
44SC,ORANGEBURG. SC
44T,OLYMPIA. WA
44TE,KINGSLAND. TX
44TN,LOUISVILLE. TN
44TS,LLANO. TX
44TX,FREDERICKSBURG. TX
44U,SALINA. UT
44VA,EAGLE ROCK. VA
44WI,SPENCER. WI
44XA,ROBSTOWN. TX
44XS,MOUNTAIN HOME. TX
45AA,TALKEETNA. AK
45AK,DELTA JUNCTION. AK
45AR,FLIPPIN. AR
45AZ,MOHAVE VALLEY. AZ
45CL,ZENIA. CA
45CN,GROVELAND. CA
45FL,LIVE OAK. FL
45G,BRIGHTON. MI
45ID,PRIEST RIVER. ID
45K,MINNEAPOLIS. KS
45KS,GALESBURG. KS
45MO,ST PETERS. MO
45MS,SUNFLOWER. MS
45MT,HINGHAM. MT
45NC,SEABOARD. NC
45OG,PILOT ROCK. OR
45OH,NEW RICHMOND. OH
45OI,STRASBURG. OH
45OK,SOUTH COFFEYVILLE. OK
45OR,COQUILLE. OR
45PN,TUNKHANNOCK. PA
45R,KOUNTZE/SILSBEE. TX
45S,SILVER LAKE. OR
45TN,CHURCH HILL. TN
45WI,WOODVILLE. WI
45WY,CASPER. WY
45XS,COTULLA. TX
46AK,HOMER. AK
46CN,LLANO. CA
46CO,PUEBLO. CO
46D,CARRINGTON. ND
46KS,VALLEY CENTER. KS
46LA,LAKE PROVIDENCE. LA
46LS,GUEYDAN. LA
46MI,WEBBERVILLE. MI
46NC,MARSHVILLE. NC
46NE,MADRID. NE
46NY,SAVANNAH. NY
46OH,NORTH JACKSON. OH
46OK,HINTON. OK
46TA,COTULLA. TX
46TE,STERLING CITY. TX
46TX,ANGLETON. TX
46U,ALPINE. WY
46VA,COLUMBIA. VA
46XS,ADRIAN. TX
47AK,EAGLE RIVER. AK
47AR,HENSLEY. AR
47CO,NEW RAYMER. CO
47FD,FORT MYERS. FL
47FL,BROOKSVILLE. FL
47GA,PINEHURST. GA
47GE,SUMMERVILLE. GA
47IN,MEROM. IN
47IS,DURAND. IL
47K,MOUNDRIDGE. KS
47KS,BALDWIN CITY. KS
47MN,NORWOOD. MN
47N,MANVILLE. NJ
47NC,FAYETTEVILLE. NC
47NY,BORDEN. NY
47OK,CALUMET. OK
47PA,STATE COLLEGE. PA
47TA,PROSPER. TX
47TE,LA WARD. TX
47TS,MADISONVILLE. TX
47TX,ARMSTRONG. TX
47V,CURTIS. NE
47VT,PANTON. VT
47WI,FORT ATKINSON. WI
47XA,TAYLOR. TX
47XS,LUBBOCK. TX
47Y,PELICAN RAPIDS. MN
48A,COCHRAN. GA
48AK,CHICKALOON. AK
48AR,FISHER. AR
48AZ,RIMROCK. AZ
48CO,NUNN. CO
48D,CLARE. MI
48FL,WALNUT HILL. FL
48G,YALE. MI
48I,SUTTON. WV
48K,NESS CITY. KS
48LL,LEAF RIVER. IL
48NC,LEXINGTON. NC
48NY,BLOOMFIELD. NY
48OK,POND CREEK. OK
48OR,ROSEBURG. OR
48PS,HARRISONVILLE. PA
48S,HARLEM. MT
48TE,LANGTRY. TX
48TS,NEW BRAUNFELS. TX
48TX,TRENTON. TX
48U,GREEN RIVER. WY
48VA,GORE. VA
48WA,YAKIMA. WA
48WI,HAZELHURST. WI
48X,PALMETTO. FL
48XA,CISCO. TX
48XS,MARATHON. TX
48Y,PINECREEK. MN
49A,ELLIJAY. GA
49AK,TALKEETNA. AK
49AR,DE WITT. AR
49B,STURGIS. SD
49C,CAMP LAKE. WI
49CL,MADERA. CA
49CN,RED BLUFF. CA
49CO,ROGGEN. CO
49F,RANKIN. TX
49FD,QUINCY. FL
49G,CHARLOTTE. MI
49II,LENA. IN
49IL,SOMONAUK. IL
49K,NORWICH. KS
49KS,MANHATTAN. KS
49MI,POSEN. MI
49MN,HASTINGS. MN
49MS,PHILADELPHIA. MS
49MT,COLUMBUS. MT
49N,EAST MORICHES. NY
49NK,ATTICA. NY
49NR,WINDSOR. NC
49NY,SHELTER ISLAND. NY
49OH,WEST JEFFERSON. OH
49OR,DAYVILLE. OR
49PA,STONE CHURCH. PA
49R,LEAKEY. TX
49TA,CALDWELL. TX
49TE,BRENHAM. TX
49U,SHOSHONI. WY
49WA,YELM. WA
49X,CHEMEHUEVI VALLEY. CA
49XS,STAR. TX
4A2,ATMAUTLUAK. AK
4A4,CEDARTOWN. GA
4A5,MARSHALL. AR
4A6,SCOTTSBORO. AL
4A9,FORT PAYNE. AL
4AK,LIVENGOOD. AK
4AK1,DEADHORSE. AK
4AK2,WASILLA. AK
4AK3,LONG LAKE. AK
4AK5,MANKOMEN LAKE. AK
4AK6,PALMER. AK
4AK7,ALEKNAGIK. AK
4AK8,NAPAIMUTE. AK
4AK9,NAKNEK. AK
4AL3,DAPHNE. AL
4AL5,WOODVILLE. AL
4AL6,SUMMERDALE. AL
4AL7,FLAT ROCK. AL
4AL8,HUNTSVILLE. AL
4AL9,LAPINE. AL
4AR1,CABOT. AR
4AR2,CABOT. AR
4AR9,SNOWBALL. AR
4AZ6,KINGMAN. AZ
4AZ9,WILLCOX. AZ
4B0,SOUTH BETHLEHEM. NY
4B1,DUANESBURG. NY
4B6,TICONDEROGA. NY
4B7,SCHROON LAKE. NY
4B8,PLAINVILLE. CT
4B9,SIMSBURY. CT
4C2,WATERLOO. IN
4C4,COLEBROOK. NH
4C7,ACKLEY. IA
4C8,ALBIA. IA
4CA2,BRENTWOOD. CA
4CA7,CHICO. CA
4CL3,WILLIAMS. CA
4CO0,CARBONDALE. CO
4CO3,WALSH. CO
4CO7,ELBERT. CO
4CO8,CASTLE ROCK. CO
4D0,GRAND LEDGE. MI
4D1,WONEWOC. WI
4D2,SALMON. ID
4D8,MILFORD. IA
4D9,ALMA. NE
4.00E+07,ELLENDALE. ND
4.00E+08,RICHARDTON. ND
4F1,WESTPORT. OK
4F2,CARTHAGE. TX
4F7,PRESCOTT. AR
4F8,STEPHENS. AR
4F9,LA MOURE. ND
4FA3,FORT MYERS. FL
4FD3,HOMESTEAD. FL
4FD7,POLK CITY. FL
4FL0,LAMONT. FL
4FL1,KENANSVILLE. FL
4FL2,BUSHNELL. FL
4FL3,FELLSMERE. FL
4FL5,FROSTPROOF. FL
4FL8,SARASOTA. FL
4FL9,HAINES CITY. FL
4G1,GREENVILLE. PA
4G2,HAMBURG. NY
4G3,ALLIANCE. OH
4G4,YOUNGSTOWN. OH
4G5,WOODSFIELD. OH
4G7,FAIRMONT. WV
4G8,COLUMBIA STATION. OH
4GA0,AMERICUS. GA
4GA1,CONCORD. GA
4GA4,ETON. GA
4GA5,PLAINS. GA
4GA6,DOUGLASVILLE. GA
4GA7,GRIFFIN. GA
4GA8,ARLINGTON. GA
4GA9,CUMMING. GA
4GE1,ATTAPULGUS. GA
4GE3,MONTROSE. GA
4I3,MOUNT VERNON. OH
4I9,MOUNT GILEAD. OH
4IA2,WEST LIBERTY. IA
4IA7,CEDAR FALLS. IA
4II0,DELPHI. IN
4II3,FILLMORE. IN
4II8,GREENFIELD. IN
4IL2,FAIRBURY. IL
4IL3,STILLMAN VALLEY (BYRON). IL
4IL4,ST ELMO. IL
4IL5,MORRISON. IL
4IL8,MURPHYSBORO. IL
4IL9,BENSON. IL
4IN4,WALLACE. IN
4IN5,BOURBON. IN
4IN7,ATTICA. IN
4IN9,SYRACUSE. IN
4IS1,CARTHAGE. IL
4IS5,HECKER. IL
4IS6,MINONK. IL
4IS7,SEYMOUR. IL
4IS8,SPARLAND. IL
4IS9,BUNKER HILL. IL
4J1,NAHUNTA. GA
4J2,NASHVILLE. GA
4J5,QUITMAN. GA
4J8,SOPERTON. GA
4K0,PEDRO BAY. AK
4K5,OUZINKIE. AK
4K6,BLOOMFIELD. IA
4KA,TUNUNAK. AK
4KS,KIOWA. KS
4KS1,WELLSVILLE. KS
4KS2,DE SOTO. KS
4KS4,WINFIELD. KS
4KS5,WICHITA/MAIZE/. KS
4KS6,HARTFORD. KS
4KS7,ROSE HILL. KS
4KS8,BIRD CITY. KS
4KS9,VICTORIA. KS
4KT4,WARSAW. KY
4KY1,GLASGOW. KY
4KY4,CALHOUN. KY
4KY5,WEST POINT. KY
4KY7,VERONA. KY
4LA8,CLINTON. LA
4LL0,STEWARD. IL
4LL1,STEWARD. IL
4LL7,SYCAMORE. IL
4LL8,SYCAMORE. IL
4LL9,MORRISONVILLE. IL
4M0,TRAVERSE CITY. MI
4M1,BERRYVILLE. AR
4M2,BOONEVILLE. AR
4M3,CARLISLE. AR
4M4,BANNISTER. MI
4M5,DERMOTT. AR
4M7,RUSSELLVILLE. KY
4M8,CLARENDON. AR
4M9,CORNING. AR
4MB,MOULTONBOROUGH. NH
4MD0,LUSBY. MD
4MD1,BERLIN. MD
4MD2,OAKLAND. MD
4MD3,BISHOPVILLE. MD
4MD4,CLEMENTS. MD
4MD5,PRINCE FREDERICK. MD
4MD6,DUBLIN. MD
4MD7,THURMONT. MD
4MD8,FREDERICK. MD
4MD9,OWINGS MILLS. MD
4MI1,PETERSBURG. MI
4MI4,ST CLAIR. MI
4MI6,THREE OAKS. MI
4MI7,FARWELL. MI
4MI8,CROSWELL. MI
4MN1,NEW YORK MILLS. MN
4MN5,GRACEVILLE. MN
4MO1,MONTGOMERY CITY. MO
4MO2,LANCASTER. MO
4MO3,LA PLATA. MO
4MO4,LIBERTY. MO
4MO6,LOUISIANA. MO
4MO7,MOUND CITY. MO
4MO8,ATHERTON. MO
4MO9,LONE JACK. MO
4MS0,PELAHATCHIE. MS
4MS2,RAYMOND. MS
4MS3,SLADEN. MS
4MS4,SHANNON. MS
4MS5,LUCEDALE. MS
4MS9,CANTON. MS
4MT1,BELGRADE. MT
4N0,KALAMAZOO. MI
4N1,WEST MILFORD. NJ
4N2,MIDDLESEX. NY
4N4,LIDGERWOOD. ND
4N7,GREENE. NY
4NA1,WILLISTON. ND
4NA3,ANTLER. ND
4NA5,BERTHOLD. ND
4NC0,MOCKSVILLE. NC
4NC2,ANGIER. NC
4NC3,LINDEN. NC
4NC4,MT PLEASANT. NC
4NC5,CAPE CARTERET. NC
4NC6,FLETCHER. NC
4NC7,GARNER. NC
4NC8,CONCORD. NC
4NC9,GOLD HILL. NC
4ND1,THOMPSON. ND
4ND8,WYNDMERE. ND
4NE0,MADRID. NE
4NE1,MILBURN. NE
4NE8,PALISADE. NE
4NE9,PAXTON. NE
4NJ0,ROSEMONT. NJ
4NJ8,SOMERVILLE. NJ
4NK2,GREENWICH. NY
4NK3,EVANS. NY
4NK4,FABIUS. NY
4NK5,MACEDON. NY
4NY0,BEEKMANTOWN. NY
4NY1,CHESTER. NY
4NY7,SOUTH CAIRO. NY
4O1,SNYDER. OK
4O4,IDABEL. OK
4O5,CHEROKEE. OK
4O7,MENO. OK
4OA8,PIQUA. OH
4OH1,MADISON. OH
4OH3,NORTH LIMA. OH
4OH8,ARCHBOLD. OH
4OI8,CANFIELD. OH
4OI9,COALTON. OH
4OK0,HENNESSEY. OK
4OK2,RUSH SPRINGS. OK
4OK4,TUTTLE. OK
4OK5,VELMA. OK
4OK6,CASHION. OK
4OR0,ROGUE RIVER. OR
4OR3,ALBANY. OR
4OR4,CORVALLIS. OR
4OR5,SALEM. OR
4OR6,SANDY. OR
4OR7,SALEM. OR
4OR8,SALEM. OR
4P3,FLANDREAU. SD
4PA1,NEW BERLIN. PA
4PA5,LOCK HAVEN. PA
4PA6,STARLIGHT. PA
4PA7,LANCASTER. PA
4PA8,PIPERSVILLE. PA
4PN0,GROVE CITY. PA
4PN7,EAGLES MERE. PA
4PS4,THOMPSON. PA
4R1,LUMBERTON. MS
4R3,JACKSON. AL
4R5,LA POINTE. WI
4R6,MILNOR. ND
4R7,EUNICE. LA
4R9,DAUPHIN ISLAND. AL
4S1,GOLD BEACH. OR
4S2,HOOD RIVER. OR
4S4,CORNELIUS. OR
4S5,ST THOMAS. ND
4S6,RIMROCK. WA
4S7,MALIN. OR
4S9,PORTLAND-MULINO. OR
4SC7,AIKEN. SC
4SD4,RAPID CITY. SD
4T2,FORT WORTH. TX
4TA0,DAMON. TX
4TA1,DENTON. TX
4TA2,CHINA SPRING. TX
4TA3,GRAHAM. TX
4TA4,HEMPSTEAD. TX
4TA5,HOLLIDAY. TX
4TA6,HUNT. TX
4TA8,OZONA. TX
4TE1,BLOOMING GROVE. TX
4TE2,DEL RIO. TX
4TE4,ALPINE. TX
4TE6,MERIDIAN. TX
4TE7,DEL RIO. TX
4TE8,EVADALE. TX
4TE9,D`HANIS. TX
4TN0,BLAINE. TN
4TN1,BIRCHWOOD. TN
4TN2,CROSSVILLE. TN
4TN3,MOSCOW. TN
4TN4,EADS. TN
4TN5,GREENVILLE. TN
4TN6,COOKEVILLE. TN
4TS5,MOUNTAIN HOME. TX
4TS7,FORT STOCKTON. TX
4TS8,D`HANIS. TX
4TX0,MONT BELVIEU. TX
4TX2,WESTLAKE. TX
4TX3,PETTY. TX
4TX4,KENNEDALE. TX
4TX5,KERENS. TX
4TX6,KILGORE. TX
4TX7,KNOX CITY. TX
4TX8,KRUM. TX
4U6,CIRCLE. MT
4U7,CONNER. MT
4U9,DELL. MT
4V0,RANGELY. CO
4V1,WALSENBURG. CO
4V4,NORTHWOOD. ND
4V6,HAY SPRINGS. NE
4V8,WEST DOVER. VT
4V9,NELIGH. NE
4VA3,RICHMOND. VA
4VA5,ARRINGTON. VA
4VA8,RICHMOND. VA
4VA9,RIXEYVILLE. VA
4VG2,ASHLAND. VA
4VG8,FREDRICKSBURG. VA
4W0,BANDERA. WA
4W4,HURDLE MILLS. NC
4WA0,ROYAL CITY. WA
4WA1,SKAMANIA. WA
4WA2,LITTLE ROCK. WA
4WA4,LOPEZ. WA
4WA8,DEMING. WA
4WA9,PORT ORCHARD. WA
4WI0,CHIPPEWA FALLS. WI
4WI1,RIO. WI
4WI4,TOMAHAWK. WI
4WI5,EAU CLAIRE. WI
4WI9,CORNELL. WI
4WN3,LAKEWOOD. WI
4WN4,FREDONIA. WI
4WN5,BALSAM LAKE. WI
4WN9,SALEM. WI
4WV4,MEDLEY. WV
4X4,WESSINGTON SPRINGS. SD
4XA2,KENEDY. TX
4XA3,CLYDE. TX
4XA4,ROCKDALE. TX
4XA5,BURKBURNETT. TX
4XS0,WALLER. TX
4XS1,CORSICANA. TX
4XS2,PARADISE. TX
4XS5,WIERGATE. TX
4XS6,WILLOW CITY. TX
4XS9,WIMBERLEY. TX
4Y1,HOWELL. MI
4Y4,GAYLORD. MI
4Y8,YALE. MI
4Y9,HARRIETTA. MI
4Z5,HORSFELD. AK
4Z9,JAKOLOF BAY. AK
50AK,POINT MACKENZIE. AK
50AZ,ROCKY RIDGE. AZ
50D,CRYSTAL FALLS. MI
50F,FORT WORTH. TX
50FD,ALTHA. FL
50FL,JAY. FL
50G,CHESANING. MI
50GA,VALDOSTA. GA
50I,KENTLAND. IN
50II,BAINBRIDGE. IN
50IL,ANTIOCH. IL
50IN,CRAWFORDSVILLE. IN
50K,PAWNEE CITY. NE
50KS,PARSONS. KS
50KY,PARIS. KY
50MT,LAUREL. MT
50NC,KANNAPOLIS. NC
50OH,JAMESTOWN. OH
50OR,BEND. OR
50PA,STROUDSBURG. PA
50R,LOCKHART. TX
50S,PARMA. ID
50TA,GERONIMO. TX
50TN,PARIS. TN
50TX,BLANCO. TX
50XS,QUEMADO. TX
51A,HAWKINSVILLE. GA
51AK,TALKEETNA. AK
51AR,OZARK. AR
51CA,LUCERNE VALLEY. CA
51CL,GALT. CA
51D,EDGELEY. ND
51FD,LEESBURG. FL
51FL,CHIEFLAND. FL
51G,CLIO. MI
51GA,TYRONE. GA
51J,LAKE CITY. SC
51K,OLATHE. KS
51KS,ELMO. KS
51LS,SUNSET. LA
51M,MIO. MI
51ME,CHESTERVILLE. ME
51MO,PLATTSBURG. MO
51NC,ZEBULON. NC
51OH,OTTAWA. OH
51OK,BEGGS. OK
51R,MADISONVILLE. TX
51TE,WAXAHACHIE. TX
51TN,COLUMBIA. TN
51TT,AUSTIN. TX
51TX,VAN. TX
51VA,MANASSAS. VA
51WA,BLACK DIAMOND. WA
51WI,OSHKOSH. WI
51WT,FRUITLAND. WA
51Z,MINTO. AK
52A,MADISON. GA
52AK,SUTTON. AK
52AR,GREENBRIER. AR
52AZ,SELIGMAN. AZ
52CL,ADELANTO. CA
52CO,MONUMENT. CO
52F,ROANOKE. TX
52FA,LAKE WALES. FL
52FL,FROSTPROOF. FL
52I,PINCONNING. MI
52IN,ANGOLA. IN
